key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
13177,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-09889,Bennette,Jewison,9,midfielder,MF
13178,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-99590,Ruiz,Bryan,10,midfielder,MF
13179,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-58669,Venegas,Johan,11,forward,FW
13180,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-70812,Campbell,Joel,12,forward,FW
13181,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-12179,Torres,Gerson,13,midfielder,MF
13182,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-32622,Salas,Youstin,14,midfielder,MF
13183,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-71100,Calvo,Francisco,15,defender,DF
13184,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-39281,Martínez,Carlos,16,defender,DF
13185,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-24978,Tejeda,Yeltsin,17,midfielder,MF
13186,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-03616,Alvarado,Esteban,18,goal keeper,GK
13187,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-37984,Waston,Kendall,19,defender,DF
13188,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-44957,Aguilera,Brandon,20,midfielder,MF
13189,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-01994,López,Douglas,21,midfielder,MF
13190,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-37189,Matarrita,Rónald,22,defender,DF
13191,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-81142,Sequeira,Patrick,23,goal keeper,GK
13192,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-23993,Wilson,Roan,24,midfielder,MF
13193,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-14872,Hernández,Anthony,25,midfielder,MF
13194,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-22631,Zamora,Álvaro,26,midfielder,MF
13195,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-99988,Livaković,Dominik,1,goal keeper,GK
13196,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-91350,Stanišić,Josip,2,defender,DF
13197,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-95766,Barišić,Borna,3,defender,DF
13198,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-93884,Perišić,Ivan,4,forward,FW
13199,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-01196,Erlić,Martin,5,defender,DF
