key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,full_name,name_norm,team_norm,has_stats,image_count,folder_path,has_image
13100,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-87008,Neymar,not applicable,10,forward,FW,Neymar,neymar,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Neymar,True
13101,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-83169,Raphinha,not applicable,11,forward,FW,Raphinha,raphinha,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Raphinha,True
13102,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-66020,Weverton,not applicable,12,goal keeper,GK,Weverton,weverton,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Weverton,True
13103,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-09441,Alves,Dani,13,defender,DF,Dani Alves,dani alves,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Dani Alves,True
13104,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-55590,Militão,Éder,14,defender,DF,Éder Militão,eder militao,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_├ëder Milit├úo,True
13105,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-77071,Fabinho,not applicable,15,midfielder,MF,Fabinho,fabinho,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Fabinho,True
13106,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-26953,Telles,Alex,16,defender,DF,Alex Telles,alex telles,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Alex Telles,True
13107,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-74688,Guimarães,Bruno,17,midfielder,MF,Bruno Guimarães,bruno guimaraes,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Bruno Guimar├úes,True
13108,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-92004,Jesus,Gabriel,18,forward,FW,Gabriel Jesus,gabriel jesus,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Gabriel Jesus,True
13109,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-37860,Antony,not applicable,19,forward,FW,Antony,antony,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Antony,True
13110,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-92812,Júnior,Vinícius,20,forward,FW,Vinícius Júnior,vinicius junior,brazil,False,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Vin├¡cius J├║nior,True
13111,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-06446,Rodrygo,not applicable,21,forward,FW,Rodrygo,rodrygo,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Rodrygo,True
13112,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-42740,Ribeiro,Éverton,22,midfielder,MF,Éverton Ribeiro,everton ribeiro,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_├ëverton Ribeiro,True
13113,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-89248,Ederson,not applicable,23,goal keeper,GK,Ederson,ederson,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Ederson,True
13114,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-14060,Bremer,not applicable,24,defender,DF,Bremer,bremer,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Bremer,True
13115,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-15197,Pedro,not applicable,25,forward,FW,Pedro,pedro,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Pedro,True
13116,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-70483,Martinelli,Gabriel,26,forward,FW,Gabriel Martinelli,gabriel martinelli,brazil,False,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Gabriel Martinelli,True
13117,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-22927,Ngapandouetnbu,Simon,1,goal keeper,GK,Simon Ngapandouetnbu,simon ngapandouetnbu,cameroon,True,50.0,data\raw\player-images\Images\Images\Group G\Cameroon Players\Images_Simon Ngapandouetnbu,True
13118,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-32773,Ngom Mbekeli,Jerome,2,defender,DF,Jerome Ngom Mbekeli,jerome ngom mbekeli,cameroon,False,26.0,data\raw\player-images\Images\Images\Group G\Cameroon Players\Images_Jerome Ngom Mbekeli,True
13119,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-93209,Nkoulou,Nicolas,3,defender,DF,Nicolas Nkoulou,nicolas nkoulou,cameroon,False,50.0,data\raw\player-images\Images\Images\Group G\Cameroon Players\Images_Nicolas Nkoulou,True
