group,image_team,image_player,name_norm,team_norm,image_count,folder_path
Group B,Iran,Milad Mohammadi,milad mohammadi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Milad Mohammadi
Group B,Iran,Morteza Pouraliganji,morteza pouraliganji,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Morteza Pouraliganji
Group B,Iran,Payam Niazmand,payam niazmand,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Payam Niazmand
Group B,Iran,Ramin Rezaeian,ramin rezaeian,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Ramin Rezaeian
Group B,Iran,Rouzbeh Cheshmi,rouzbeh cheshmi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Rouzbeh Cheshmi
Group B,Iran,Sadegh Moharrami,sadegh moharrami,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Sadegh Moharrami
Group B,Iran,Saeid Ezatolahi,saeid ezatolahi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Saeid Ezatolahi
Group B,Iran,Saman Ghoddos,saman ghoddos,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Saman Ghoddos
Group B,Iran,Sardar Azmoun,sardar azmoun,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Sardar Azmoun
Group B,Iran,Shojae Khalilzadeh,shojae khalilzadeh,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Shojae Khalilzadeh
Group B,Iran,Vahid Amiri,vahid amiri,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Vahid Amiri
Group B,United States,Aaron Long,aaron long,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Aaron Long
Group B,United States,Antonee Robinson,antonee robinson,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Antonee Robinson
Group B,United States,Brenden Aaronson,brenden aaronson,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Brenden Aaronson
Group B,United States,Cameron Carter-Vickers,cameron carter vickers,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Cameron Carter-Vickers
Group B,United States,Christian Pulisic,christian pulisic,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Christian Pulisic
Group B,United States,Cristian Roldan,cristian roldan,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Cristian Roldan
Group B,United States,DeAndre Yedlin,deandre yedlin,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_DeAndre Yedlin
Group B,United States,Ethan Horvath,ethan horvath,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Ethan Horvath
Group B,United States,Giovanni Reyna,giovanni reyna,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Giovanni Reyna
Group B,United States,Haji Wright,haji wright,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Haji Wright
Group B,United States,Jesús Ferreira,jesus ferreira,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Jes├║s Ferreira
Group B,United States,Joe Scally,joe scally,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Joe Scally
Group B,United States,Jordan Morris,jordan morris,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Jordan Morris
Group B,United States,Josh Sargent,josh sargent,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Josh Sargent
Group B,United States,Kellyn Acosta,kellyn acosta,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Kellyn Acosta
Group B,United States,Luca de la Torre,luca de la torre,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Luca de la Torre
Group B,United States,Matt Turner,matt turner,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Matt Turner
Group B,United States,Sean Johnson,sean johnson,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Sean Johnson
Group B,United States,Sergiño Dest,sergino dest,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Sergi├▒o Dest
Group B,United States,Shaq Moore,shaq moore,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Shaq Moore
Group B,United States,Tim Ream,tim ream,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Tim Ream
Group B,United States,Timothy Weah,timothy weah,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Timothy Weah
Group B,United States,Tyler Adams,tyler adams,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Tyler Adams
Group B,United States,Walker Zimmerman,walker zimmerman,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Walker Zimmerman
Group B,United States,Weston McKennie,weston mckennie,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Weston McKennie
Group B,United States,Yunus Musah,yunus musah,united states,50,data\raw\player-images\Images\Images\Group B\United States Players\Images_Yunus Musah
Group B,Wales,Aaron Ramsey,aaron ramsey,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Aaron Ramsey
Group B,Wales,Adam Davies,adam davies,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Adam Davies
Group B,Wales,Ben Cabango,ben cabango,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Ben Cabango
Group B,Wales,Ben Davies,ben davies,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Ben Davies
Group B,Wales,Brennan Johnson,brennan johnson,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Brennan Johnson
Group B,Wales,Chris Gunter,chris gunter,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Chris Gunter
Group B,Wales,Chris Mepham,chris mepham,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Chris Mepham
Group B,Wales,Connor Roberts,connor roberts,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Connor Roberts
Group B,Wales,Daniel James,daniel james,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Daniel James
Group B,Wales,Danny Ward,danny ward,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Danny Ward
Group B,Wales,Dylan Levitt,dylan levitt,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Dylan Levitt
Group B,Wales,Ethan Ampadu,ethan ampadu,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Ethan Ampadu
Group B,Wales,Gareth Bale,gareth bale,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Gareth Bale (captain)
Group B,Wales,Harry Wilson,harry wilson,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Harry Wilson
Group B,Wales,Joe Allen,joe allen,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Joe Allen
Group B,Wales,Joe Morrell,joe morrell,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Joe Morrell
Group B,Wales,Joe Rodon,joe rodon,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Joe Rodon
Group B,Wales,Jonny Williams,jonny williams,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Jonny Williams
Group B,Wales,Kieffer Moore,kieffer moore,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Kieffer Moore
Group B,Wales,Mark Harris,mark harris,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Mark Harris
Group B,Wales,Matthew Smith,matthew smith,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Matthew Smith
Group B,Wales,Neco Williams,neco williams,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Neco Williams
Group B,Wales,Rubin Colwill,rubin colwill,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Rubin Colwill
Group B,Wales,Sorba Thomas,sorba thomas,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Sorba Thomas
Group B,Wales,Tom Lockyer,tom lockyer,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Tom Lockyer
Group B,Wales,Wayne Hennessey,wayne hennessey,wales,50,data\raw\player-images\Images\Images\Group B\Wales Players\Images_Wayne Hennessey
Group C,Argentina,Alexis Mac Allister,alexis mac allister,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Alexis Mac Allister
Group C,Argentina,Cristian Romero,cristian romero,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Cristian Romero
Group C,Argentina,Emiliano Martínez,emiliano martinez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Emiliano Mart├¡nez
Group C,Argentina,Enzo Fernández,enzo fernandez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Enzo Fern├índez
Group C,Argentina,Exequiel Palacios,exequiel palacios,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Exequiel Palacios
Group C,Argentina,Franco Armani,franco armani,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Franco Armani
Group C,Argentina,Germán Pezzella,german pezzella,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Germ├ín Pezzella
Group C,Argentina,Gerónimo Rulli,geronimo rulli,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Ger├│nimo Rulli
Group C,Argentina,Gonzalo Montiel,gonzalo montiel,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Gonzalo Montiel
Group C,Argentina,Guido Rodríguez,guido rodriguez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Guido Rodr├¡guez
Group C,Argentina,Juan Foyth,juan foyth,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Juan Foyth
Group C,Argentina,Julián Álvarez,julian alvarez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Juli├ín ├ülvarez
