player_id,full_name,team,folder,ok
P-00809,Liam Millar,Canada,data/raw/player-images/Images/Images/Group F/Canada Players/Images_Liam Millar,True
P-49915,David Wotherspoon,Canada,data/raw/player-images/Images/Images/Group F/Canada Players/Images_David Wotherspoon,True
P-21099,Derek Cornelius,Canada,data/raw/player-images/Images/Images/Group F/Canada Players/Images_Derek Cornelius,True
P-71727,Joel Waterman,Canada,data/raw/player-images/Images/Images/Group F/Canada Players/Images_Joel Waterman,True
P-81392,Keylor Navas,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Keylor Navas,True
P-57150,Daniel Chacón,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Daniel Chac├│n,True
P-65777,Juan Pablo Vargas,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Juan Pablo Vargas,True
P-80986,Keysher Fuller,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Keysher Fuller,True
P-11767,Celso Borges,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Celso Borges,True
P-97912,Óscar Duarte,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_├ôscar Duarte,True
P-02556,Anthony Contreras,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Anthony Contreras,True
P-10740,Bryan Oviedo,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Bryan Oviedo,True
P-09889,Jewison Bennette,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Jewison Bennette,True
P-99590,Bryan Ruiz,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Bryan Ruiz (captain),True
P-58669,Johan Venegas,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Johan Venegas,True
P-70812,Joel Campbell,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Joel Campbell,True
P-12179,Gerson Torres,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Gerson Torres,True
P-32622,Youstin Salas,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Youstin Salas,True
P-71100,Francisco Calvo,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Francisco Calvo,True
P-39281,Carlos Martínez,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Carlos Mart├¡nez,True
P-24978,Yeltsin Tejeda,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Yeltsin Tejeda,True
P-03616,Esteban Alvarado,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Esteban Alvarado,True
P-37984,Kendall Waston,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Kendall Waston,True
P-44957,Brandon Aguilera,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Brandon Aguilera,True
P-01994,Douglas López,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Douglas L├│pez,True
P-37189,Rónald Matarrita,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_R├│nald Matarrita,True
P-81142,Patrick Sequeira,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Patrick Sequeira,True
P-23993,Roan Wilson,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Roan Wilson,True
P-14872,Anthony Hernández,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_Anthony Hern├índez,True
P-22631,Álvaro Zamora,Costa Rica,data/raw/player-images/Images/Images/Group E/Costa Rica Players/Images_├ülvaro Zamora,True
P-99988,Dominik Livaković,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Dominik Livakovi─ç,True
P-91350,Josip Stanišić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Josip Stani┼íi─ç,True
P-95766,Borna Barišić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Borna Bari┼íi─ç,True
P-93884,Ivan Perišić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Ivan Peri┼íi─ç,True
P-01196,Martin Erlić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Martin Erli─ç,True
P-56297,Dejan Lovren,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Dejan Lovren,True
P-64353,Lovro Majer,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Lovro Majer,True
P-07670,Mateo Kovačić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Mateo Kova─ìi─ç,True
P-65182,Andrej Kramarić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Andrej Kramari─ç,True
P-29491,Luka Modrić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Luka Modri─ç (captain),True
P-79215,Marcelo Brozović,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Marcelo Brozovi─ç,True
